region,annee,type,nb_etab,nb_ecrans,nb_fauteuils,nb_seances,nb_entrees,recette,rme,indice_freq,tmof
BOURGOGNE-FRANCHE-COMTE,1973,T,0,205,85494,0,6415802,5684610.72905694,0.886032756163132,2.43830028199418,0.0
BOURGOGNE-FRANCHE-COMTE,1974,T,0,203,83116,0,6472175,6579035.36359853,1.01651073458281,2.45972461862378,0.0
BOURGOGNE-FRANCHE-COMTE,1975,T,0,205,81105,0,6461987,7745709.55108338,1.19865755704606,2.45585270934837,0.0
BOURGOGNE-FRANCHE-COMTE,1976,T,0,215,79192,0,6091649,8565479.7494348,1.40610198477207,2.31510721099397,0.0
BOURGOGNE-FRANCHE-COMTE,1977,T,0,208,74900,0,5749328,8860469.51248329,1.5411313309109,2.18500946314693,0.0
BOURGOGNE-FRANCHE-COMTE,1978,T,0,208,71477,0,6245681,10599233.4863413,1.69705008730695,2.37364646595167,0.0
BOURGOGNE-FRANCHE-COMTE,1979,T,0,206,68724,0,6258341,11642686.4870716,1.86034709311486,2.33511212069088,0.0
BOURGOGNE-FRANCHE-COMTE,1980,T,0,211,66552,0,5856137,13904670.4280921,2.37437587749263,2.18504176891709,0.0
BOURGOGNE-FRANCHE-COMTE,1981,T,0,241,67640,0,6474970,17474212.0291422,2.69873250828068,2.4159407306361,0.0
BOURGOGNE-FRANCHE-COMTE,1982,T,0,250,67599,0,7525325,22614240.2627001,3.00508486513209,2.80784917594585,0.0
BOURGOGNE-FRANCHE-COMTE,1983,T,0,269,68190,0,7378606,23993195.7430136,3.25172474895849,2.75310538438262,0.0
BOURGOGNE-FRANCHE-COMTE,1984,T,0,284,67659,0,7013714,24078894.9580537,3.43311617183901,2.61695688561223,0.0
BOURGOGNE-FRANCHE-COMTE,1985,T,0,289,65821,0,6201572,22630893.9457922,3.64921893123101,2.31393047207514,0.0
BOURGOGNE-FRANCHE-COMTE,1986,T,0,281,64881,0,6064364,23464820.5923851,3.86929620194056,2.26273542472062,0.0
BOURGOGNE-FRANCHE-COMTE,1987,T,0,272,60213,0,4682522,18986678.8402798,4.0547967263851,1.72982851691819,0.0
BOURGOGNE-FRANCHE-COMTE,1988,T,0,255,56026,0,4140233,17418789.1081947,4.20719980874326,1.52949463603762,0.0
BOURGOGNE-FRANCHE-COMTE,1989,T,0,247,53205,0,4000194,17594913.5756577,4.39851447424838,1.47776115964014,0.0
BOURGOGNE-FRANCHE-COMTE,1990,T,0,240,50649,0,3940739,17732444.188298,4.49977533618576,1.45579728745944,0.0
BOURGOGNE-FRANCHE-COMTE,1991,T,0,230,48300,0,3799653,17968255.4690079,4.72891920048082,1.40367690762935,0.0
BOURGOGNE-FRANCHE-COMTE,1992,T,106,219,43434,155850,3729608,18163693.19,4.87013466026456,1.37780045209904,13.4407466373519
BOURGOGNE-FRANCHE-COMTE,1993,T,105,218,43016,163938,4627667,22450421.09,4.85134757751584,1.70956349427709,15.3258426475106
BOURGOGNE-FRANCHE-COMTE,1994,T,103,217,42329,166251,4199413,20587201.59,4.90239983302428,1.55135690666434,13.9483115583594
BOURGOGNE-FRANCHE-COMTE,1995,T,106,223,42845,174926,4520782,22417164.74,4.95869182367122,1.65770925142439,14.42445269708
BOURGOGNE-FRANCHE-COMTE,1996,T,103,222,41993,182739,4567501,22845271.16,5.00170030833053,1.67484047308412,14.2403083226392
BOURGOGNE-FRANCHE-COMTE,1997,T,102,222,41774,187771,4894725,24312054.71,4.96699093616087,1.79482906180353,14.9118559266228
